sim no.,total_graft_reads,graft_in_graft,graft_in_both,graft_in_ambiguous,graft_in_neither,graft_in_host
4,12000000,11676153,20125,302934,0,788
5,27000000,26272604,45660,679930,0,1806
6,42000000,40869215,71163,1056755,0,2867
7,15000000,14595253,25837,377949,0,961
8,30000000,29191673,50768,755527,0,2032
9,45000000,43786970,76539,1133401,0,3090
10,18000000,17515646,30498,452604,0,1252
11,33000000,32111032,56562,830086,0,2320
12,48000000,46707467,81918,1207339,0,3276
13,21000000,20435694,35639,527269,1,1397
14,30000000,29189664,50880,757450,0,2006
15,36000000,35030708,61440,905488,0,2364
16,24000000,23352944,40965,604424,0,1667
17,51000000,49626784,86396,1283297,1,3522
18,39000000,37949269,66881,981165,0,2685
19,54000000,52545069,92225,1359107,1,3598
20,57000000,55464168,96681,1435226,0,3925
21,60000000,58384286,102144,1509471,0,4099
